benchmark,topology,k,R,N,n_clean,acc_pct,mean_dyn_kJ,mean_total_tokens,acc_field,source_file
BrowseCompplus,independent,7,,2,50,44.0,22.658,185148.0,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k7_N2.jsonl
BrowseCompplus,independent,7,,3,50,44.0,35.23,306842.9,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_independent_k7.jsonl
BrowseCompplus,independent,7,,4,50,42.0,39.29,433097.1,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k7_N4.jsonl
BrowseCompplus,independent,7,,5,50,52.0,40.428,529108.2,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k7_N5.jsonl
BrowseCompplus,independent,10,,2,50,38.0,25.091,318108.9,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k10_N2.jsonl
BrowseCompplus,independent,10,,3,50,50.0,50.77,484278.4,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_independent_k10.jsonl
BrowseCompplus,independent,15,,2,50,38.0,26.654,414174.0,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k15_N2.jsonl
BrowseCompplus,independent,15,,3,50,48.0,59.607,723204.3,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_independent_k15.jsonl
BrowseCompplus,independent,15,,4,50,54.0,49.337,812713.9,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k15_N4.jsonl
BrowseCompplus,independent,15,,5,50,42.0,62.375,1104850.1,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k15_N5.jsonl
BrowseCompplus,independent,20,,2,50,34.0,24.106,353991.8,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k20_N2.jsonl
BrowseCompplus,independent,20,,3,50,38.0,29.741,526970.0,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k20_N3.jsonl
BrowseCompplus,independent,20,,4,50,42.0,39.359,760541.7,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k20_N4.jsonl
BrowseCompplus,independent,20,,5,50,46.0,45.422,908856.5,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k20_N5.jsonl
BrowseCompplus,independent,20,,10,50,54.0,88.721,1868928.1,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k20_N10.jsonl
BrowseCompplus,independent,30,,2,50,42.0,32.184,513933.2,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k30_N2.jsonl
BrowseCompplus,independent,30,,3,50,52.0,91.929,1231107.2,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_independent_k30.jsonl
BrowseCompplus,independent,30,,4,50,48.0,50.38,993702.9,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k30_N4.jsonl
BrowseCompplus,independent,30,,5,50,44.0,64.093,1283743.4,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k30_N5.jsonl
BrowseCompplus,independent,50,,2,50,36.0,28.785,510570.7,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k50_N2.jsonl
BrowseCompplus,independent,50,,3,50,50.0,132.34,1761469.6,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_independent_k50.jsonl
BrowseCompplus,independent,50,,4,50,48.0,59.091,1181153.4,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k50_N4.jsonl
BrowseCompplus,independent,50,,5,50,58.0,67.816,1381236.1,correct,a5000_browsecomp_canonical_bf16/Qwen_Qwen3.5-9B_independent_k50_N5.jsonl
BrowseCompplus,sas,1,,1,50,10.0,2.487,7309.4,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_sas_k1.jsonl
BrowseCompplus,sas,2,,1,50,18.0,2.678,19875.9,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_sas_k2.jsonl
BrowseCompplus,sas,3,,1,50,26.0,6.178,37344.1,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_sas_k3.jsonl
BrowseCompplus,sas,5,,1,50,34.0,10.423,73459.4,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_sas_k5.jsonl
BrowseCompplus,sas,7,,1,50,32.0,12.311,110639.4,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_sas_k7.jsonl
BrowseCompplus,sas,10,,1,50,36.0,17.087,154142.0,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_sas_k10.jsonl
BrowseCompplus,sas,15,,1,50,36.0,19.092,247456.3,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_sas_k15.jsonl
BrowseCompplus,sas,20,,1,50,34.0,21.948,313518.4,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_sas_k20.jsonl
BrowseCompplus,sas,30,,1,50,36.0,29.963,457810.4,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_sas_k30.jsonl
BrowseCompplus,sas,50,,1,50,36.0,45.29,740490.4,correct,final_qwen9b_canonical/BrowseCompplus/k_sweep/Qwen_Qwen3.5-9B_sas_k50.jsonl
FanOutQA,centralized,1,2,2,50,56.8,10.499,33129.5,loose_accuracy,a5000_fanoutqa_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k1_R2_N2.jsonl
FanOutQA,centralized,1,2,3,50,54.6,19.331,56466.7,loose_accuracy,final_qwen9b_canonical/FanOutQA/k_sweep/Qwen_Qwen3.5-9B_centralized_k1_R2.jsonl
FanOutQA,centralized,1,2,4,50,54.2,16.23,64528.6,loose_accuracy,a5000_fanoutqa_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k1_R2_N4.jsonl
FanOutQA,centralized,1,30,3,50,49.0,308.469,1632735.6,loose_accuracy,a5000_fanoutqa_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k1_R30_N3.jsonl
FanOutQA,centralized,2,2,2,50,50.8,16.638,134686.7,loose_accuracy,a5000_fanoutqa_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k2_R2_N2.jsonl
FanOutQA,centralized,2,2,3,50,61.2,26.51,216429.3,loose_accuracy,final_qwen9b_canonical/FanOutQA/k_sweep/Qwen_Qwen3.5-9B_centralized_k2_R2.jsonl
FanOutQA,centralized,2,15,3,50,43.1,120.607,859175.6,loose_accuracy,a5000_fanoutqa_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k2_R15_N3.jsonl
FanOutQA,centralized,3,2,2,50,54.1,16.696,175953.0,loose_accuracy,a5000_fanoutqa_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k3_R2_N2.jsonl
FanOutQA,centralized,3,2,3,50,66.0,33.433,309088.3,loose_accuracy,final_qwen9b_canonical/FanOutQA/k_sweep/Qwen_Qwen3.5-9B_centralized_k3_R2.jsonl
FanOutQA,centralized,5,2,2,50,50.5,18.606,218470.5,loose_accuracy,a5000_fanoutqa_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k5_R2_N2.jsonl
FanOutQA,centralized,5,2,3,50,67.5,40.862,458375.6,loose_accuracy,final_qwen9b_canonical/FanOutQA/k_sweep/Qwen_Qwen3.5-9B_centralized_k5_R2.jsonl
FanOutQA,centralized,7,2,2,50,47.5,18.083,217698.8,loose_accuracy,a5000_fanoutqa_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k7_R2_N2.jsonl
FanOutQA,centralized,7,2,3,50,67.1,45.045,611674.9,loose_accuracy,final_qwen9b_canonical/FanOutQA/k_sweep/Qwen_Qwen3.5-9B_centralized_k7_R2.jsonl
FanOutQA,centralized,10,2,1,50,57.5,20.576,316892.5,loose_accuracy,final_qwen9b_canonical/FanOutQA/n_sweep/Qwen_Qwen3.5-9B_centralized_k10_R2_N1.jsonl
FanOutQA,centralized,10,2,2,50,65.0,40.523,529205.3,loose_accuracy,final_qwen9b_canonical/FanOutQA/n_sweep/Qwen_Qwen3.5-9B_centralized_k10_R2_N2.jsonl
FanOutQA,centralized,10,2,3,50,67.5,55.952,785156.1,loose_accuracy,final_qwen9b_canonical/FanOutQA/k_sweep/Qwen_Qwen3.5-9B_centralized_k10_R2.jsonl
FanOutQA,centralized,10,2,4,50,68.9,59.262,819861.8,loose_accuracy,final_qwen9b_canonical/FanOutQA/n_sweep/Qwen_Qwen3.5-9B_centralized_k10_R2_N4.jsonl
FanOutQA,centralized,10,2,5,50,72.6,72.132,998195.1,loose_accuracy,final_qwen9b_canonical/FanOutQA/n_sweep/Qwen_Qwen3.5-9B_centralized_k10_R2_N5.jsonl
FanOutQA,centralized,10,2,10,50,58.1,85.417,903970.5,loose_accuracy,final_qwen9b_canonical/FanOutQA/n_sweep/Qwen_Qwen3.5-9B_centralized_k10_R2_N10.jsonl
FanOutQA,centralized,10,3,3,50,41.6,33.089,349224.5,loose_accuracy,a5000_fanoutqa_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k10_R3_N3.jsonl
FanOutQA,centralized,15,2,2,50,44.3,17.694,216249.2,loose_accuracy,a5000_fanoutqa_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k15_R2_N2.jsonl
FanOutQA,centralized,15,2,3,50,49.2,27.51,267182.4,loose_accuracy,a5000_fanoutqa_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k15_R2_N3.jsonl
FanOutQA,centralized,20,2,3,50,68.4,63.738,1088940.7,loose_accuracy,final_qwen9b_canonical/FanOutQA/k_sweep/Qwen_Qwen3.5-9B_centralized_k20_R2.jsonl
FanOutQA,centralized,30,1,3,50,49.9,14.996,181657.8,loose_accuracy,a5000_fanoutqa_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k30_R1_N3.jsonl
FanOutQA,centralized,30,2,2,50,45.1,18.123,234089.2,loose_accuracy,a5000_fanoutqa_canonical_bf16/Qwen_Qwen3.5-9B_centralized_k30_R2_N2.jsonl
FanOutQA,centralized,30,2,3,50,68.9,81.318,1349999.2,loose_accuracy,final_qwen9b_canonical/FanOutQA/k_sweep/Qwen_Qwen3.5-9B_centralized_k30_R2.jsonl
FanOutQA,centralized,50,2,3,50,71.1,83.116,1682946.5,loose_accuracy,final_qwen9b_canonical/FanOutQA/k_sweep/Qwen_Qwen3.5-9B_centralized_k50_R2.jsonl
