topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv
independent,1,,3,Qwen_Qwen3.5-9B_independent_k1.jsonl,50,0,9,18.0,17.02127659574468,10.860669416639777,7.823185421662653,1.779339981062247,47,17013.425531914894,1441.2978723404256,False,10.757248718887185,7.815725761504702,1.7143683040676114,390.7862880752351,8.736052119999998,9.33761545569725,1.9139053262290657,5.890000901962668,0.011819533312968039,24.175712627246977,39.72860961280763,15523.14,1439.82,16962.96,3.04,6.98,3163575.25
independent,2,,3,Qwen_Qwen3.5-9B_independent_k2.jsonl,50,0,25,50.0,46.808510638297875,14.419846666211958,11.777295504232274,1.8711117464595337,47,34101.255319148935,2143.340425531915,False,14.000000000000002,11.633313932035753,1.8043975719541754,581.6656966017877,13.11221014,14.040458658712705,5.386967174388076,6.2239389167823616,0.02240784086531313,31.526941952034832,59.63110750496387,31745.34,2117.42,33862.76,6.04,9.92,8306276.31
independent,3,,3,Qwen_Qwen3.5-9B_independent_k3.jsonl,50,0,35,70.0,68.08510638297872,13.471002485540481,18.252036433939907,4.9319062354136145,47,53285.31914893617,3314.3617021276596,False,12.83121194587635,17.95057634352676,4.718001308632219,897.528817176338,20.05065606,21.386546629759042,13.155222408064782,4.765642808874255,0.029711126587720148,45.161303112767634,90.72175023816526,49476.46,3262.4,52738.86,8.06,11.9,18810560.62
independent,5,,3,Qwen_Qwen3.5-9B_independent_k5.jsonl,50,0,39,78.0,76.59574468085107,12.23564563361845,23.505730598709746,5.967246832932384,47,77435.1914893617,4251.872340425532,False,11.598896499236469,23.41036710629786,5.84337115168862,1170.518355314893,26.3529534,28.11628673435294,19.001877008029684,4.3694107351140135,0.03907936315415991,59.130819077119234,118.55353176645934,71763.86,4239.92,76003.78,10.28,13.74,34135383.74
independent,7,,3,Qwen_Qwen3.5-9B_independent_k7.jsonl,50,0,43,86.0,85.1063829787234,10.288648096154587,27.42426844922887,7.082176269352163,47,84170.76595744681,4986.063829787234,False,9.715636880822585,27.49382188875688,7.024803233628993,1374.691094437844,30.689698780000008,32.709260195519875,25.125011695322343,2.333588293215695,0.03522190021882967,70.06515153601765,138.03288915582002,77189.06,5002.82,82191.88,11.14,13.84,44443515.87
independent,10,,3,Qwen_Qwen3.5-9B_independent_k10.jsonl,50,0,42,84.0,82.97872340425532,10.860669416639777,25.107899582629926,6.919340140629288,47,86547.51063829787,4572.36170212766,False,10.26496955670108,26.195673497889267,7.57119041249218,1309.7836748944633,29.482306159999997,31.444411655260755,24.631248044637243,1.5228754450721522,0.04155000817985747,62.752852904498575,132.3942137054354,80650.5,4776.46,85426.96,10.88,14.24,40631895.57
independent,15,,3,Qwen_Qwen3.5-9B_independent_k15.jsonl,50,0,43,86.0,85.1063829787234,10.288648096154587,23.271050493908533,6.359273746102638,47,85636.3829787234,4234.489361702128,False,9.715636880822585,23.441660410463488,6.300241341461817,1172.0830205231744,26.173227819999994,27.916601721152137,21.986539743495165,1.4131746633383921,0.04194600362992303,58.23110516563058,117.96574853826314,79228.9,4269.02,83497.92,10.56,13.6,36720970.05
independent,20,,3,Qwen_Qwen3.5-9B_independent_k20.jsonl,50,0,41,82.0,80.85106382978722,11.370834816554783,27.757200925516837,8.38268617862336,47,85111.70212765958,5036.872340425532,False,10.757248718887185,26.840431595511244,7.970740234853702,1342.0215797755623,29.800699019999996,31.76688511458854,25.097322036518758,1.7018308997990181,0.0412786591934777,67.56826939750462,134.10004900153726,77917.48,4872.9,82790.38,10.44,13.86,43624207.19
independent,30,,3,Qwen_Qwen3.5-9B_independent_k30.jsonl,50,0,42,84.0,82.97872340425532,10.860669416639777,24.509728698208548,6.7927474944289274,47,86279.02127659574,4407.936170212766,False,10.26496955670108,23.79211332732138,6.473187465136255,1189.605666366069,26.27807963999999,28.049535528896968,22.570845545106575,1.1823992830303682,0.03886849918443362,56.830942480154334,118.56046679519118,79796.38,4280.92,84077.3,10.82,13.88,39853610.04
independent,50,,3,Qwen_Qwen3.5-9B_independent_k50.jsonl,50,0,43,86.0,85.1063829787234,10.288648096154587,27.251128384607572,7.7876605983419,47,105929.74468085106,4897.574468085107,False,9.715636880822585,27.095528307778263,7.5664177897564215,1354.7764153889132,29.92262766,31.894207176537133,25.696503301930967,1.3559002295498856,0.04312477629741359,68.47396716762334,134.79106733474882,97486.0,4873.62,102359.62,11.5,14.5,45482301.63
