benchmark,sweep,topology,k,R,N,filename,n_valid,n_errored,patch_presence_correct,patch_presence_acc_pct,acc_std_pct,acc_std_ci95_pct,mean_kJ_dynamic_std,mean_kJ_dynamic_std_ci95,n_std,mean_tokens_std,mean_completion_tokens_std,degraded_incomplete_run,acc_ci95_pct,mean_kJ_dynamic,mean_kJ_dynamic_ci95,total_kJ_dynamic,mean_kJ_gpu_total,mean_kJ_total_system,mean_kJ_inference,mean_kJ_coordination,mean_kJ_tool_exec,mean_wall_s,mean_wall_s_serial,mean_prompt_tokens,mean_completion_tokens,mean_tokens,mean_n_tool_calls,mean_n_llm_calls,mean_task_kv,loose_acc_pct,real_correct_present,real_correct_true,harness_acc_pct,harness_acc_evaluated_only_pct
BrowseCompplus,k_sweep,decentralized,1,2,3,Qwen_Qwen3.5-9B_decentralized_k1.jsonl,50,0,11,22.0,22.0,11.598896499236469,38.16243524779273,9.003712765761948,50,81261.28,6560.16,False,11.598896499236469,38.16243524779273,9.003712765761948,1908.1217623896366,42.96243322000001,44.92560204220845,10.527871756244128,27.553207649901616,0.08135584164698295,135.5428908175975,193.22153381049634,74701.12,6560.16,81261.28,10.58,12.38,65462735.96,,,,,
BrowseCompplus,k_sweep,decentralized,2,2,3,Qwen_Qwen3.5-9B_decentralized_k2.jsonl,50,0,23,46.0,46.0,13.955128089702368,40.585713122931416,4.775668196865791,50,323606.74,5262,False,13.955128089702368,40.58571312293143,4.775668196865791,2029.2856561465715,45.30146607999999,47.4278614745085,21.621221302710364,18.719784605055466,0.24470721516558894,109.9235289874673,208.5441741167009,318344.74,5262.0,323606.74,29.94,23.1,76278529.26,,,,,
BrowseCompplus,k_sweep,decentralized,3,2,3,Qwen_Qwen3.5-9B_decentralized_k3.jsonl,50,0,23,46.0,46.0,13.955128089702368,52.2909360437363,8.114329618832501,50,452553.22,6603.86,False,13.955128089702368,52.29093604373631,8.114329618832501,2614.5468021868155,59.029255860000006,61.79772700791977,31.96711333420975,20.065542766740236,0.2582799427863252,144.96812132958323,271.6750814419985,445949.36,6603.86,452553.22,39.54,27.46,118221861.51,,,,,
BrowseCompplus,k_sweep,decentralized,5,2,3,Qwen_Qwen3.5-9B_decentralized_k5.jsonl,50,0,26,52.0,52.0,13.988795516412415,73.30615293205688,14.31443438652689,50,657305.12,8028.94,False,13.988795516412415,73.30615293205686,14.31443438652689,3665.3076466028433,81.75097693999997,85.55392240725911,48.15443442430383,24.751682227484043,0.40003628026899546,200.69161230675877,373.5268024688214,649276.18,8028.94,657305.12,50.08,33.5,177014630.93,,,,,
BrowseCompplus,k_sweep,decentralized,7,2,3,Qwen_Qwen3.5-9B_decentralized_k7.jsonl,50,0,22,44.0,44.0,13.89883448350976,87.61601061410374,18.00862338023244,50,910471.34,9472.78,False,13.89883448350976,87.61601061410373,18.00862338023244,4380.800530705186,98.88868453999997,103.51797114187877,65.4334610095395,21.731848673998147,0.45070093056609606,226.13771125961094,454.5594779478386,900998.56,9472.78,910471.34,68.14,41.92,217761810.61,,,,,
BrowseCompplus,k_sweep,decentralized,10,2,3,Qwen_Qwen3.5-9B_decentralized_k10.jsonl,50,0,24,48.0,48.0,13.988795516412415,105.33509253861116,22.127757041234293,50,1010908.72,11079.98,False,13.988795516412415,105.33509253861119,22.127757041234293,5266.754626930559,117.44735582000003,122.90379852142205,78.02938608049544,26.73236388453704,0.5733425735786961,270.67418955083934,535.9896767225116,999828.74,11079.98,1010908.72,77.58,44.54,283268783.37,,,,,
BrowseCompplus,k_sweep,decentralized,15,2,3,Qwen_Qwen3.5-9B_decentralized_k15.jsonl,50,0,24,48.0,48.0,13.988795516412415,123.59419142374396,27.13990208811593,50,1390238.44,12565.28,False,13.988795516412415,123.59419142374396,27.13990208811593,6179.709571187198,137.2487941,143.67680381976513,101.2981379709525,21.595058006939595,0.7009954458518532,341.43588128723206,631.1820020825044,1377673.16,12565.28,1390238.44,94.74,57.08,325247128.68,,,,,
BrowseCompplus,k_sweep,decentralized,20,2,3,Qwen_Qwen3.5-9B_decentralized_k20.jsonl,50,0,25,50.0,50.0,14.000000000000002,133.64100023390878,29.515724138505018,50,1639099.84,12462.44,False,14.000000000000002,133.6410002339088,29.515724138505018,6682.05001169544,147.8662418,154.81070850507032,118.75264432511545,13.99819595671703,0.8901599520762931,329.97149856295437,681.3366470169649,1626637.4,12462.44,1639099.84,113.66,64.34,339969067.52,,,,,
BrowseCompplus,k_sweep,decentralized,30,2,3,Qwen_Qwen3.5-9B_decentralized_k30.jsonl,50,0,22,44.0,44.0,13.89883448350976,197.16369656874522,45.44109349283384,50,2625446.54,17798.82,False,13.89883448350976,197.16369656874528,45.44109349283384,9858.184828437265,222.07835125999995,232.45188757463322,184.0044467378524,11.973383384124686,1.1858664467681816,512.0400557402894,1019.1823340649903,2607647.72,17798.82,2625446.54,173.12,94.98,501352836.05,,,,,
BrowseCompplus,k_sweep,decentralized,50,2,3,Qwen_Qwen3.5-9B_decentralized_k50.jsonl,50,0,26,52.0,52.0,13.988795516412415,246.8375934839724,79.74016002155876,50,2724151.84,25196.88,False,13.988795516412415,246.83759348397243,79.74016002155876,12341.87967419862,277.69951935999995,290.5241231310904,235.91466203617279,9.716432889410243,1.206498558389353,766.9640609584749,1261.5889238419757,2698954.96,25196.88,2724151.84,159.62,98.5,769360129.56,,,,,
